24.3.2015	13:33
Amplitude: 0,05 V
Frequency  (Hz),Gain (dB) ,Phase (deg)
10,000	-3,867	-141,647
12,589	-3,548	-141,177
15,849	-2,932	-141,018
19,953	-2,607	-140,105
25,119	-2,053	-135,771
31,623	-1,513	-133,457
39,811	-0,545	-129,577
50,119	0,724	-125,170
63,096	2,782	-119,369
79,433	4,272	-116,438
100,000	5,904	-114,267
125,893	7,617	-113,313
158,489	9,429	-112,596
199,526	11,213	-113,378
251,189	12,931	-115,058
316,228	14,639	-117,566
398,107	16,258	-120,956
501,187	17,758	-125,471
630,957	19,382	-131,912
794,328	20,376	-136,954
1000,000	21,108	-142,636
1258,925	21,706	-148,011
1584,893	22,085	-152,578
1995,262	22,430	-157,371
2511,886	22,712	-161,566
3162,278	23,173	-165,712
3981,072	23,282	191,471
5011,872	23,496	188,999
6309,573	23,360	186,839
7943,282	23,264	185,144
10000,000	24,055	183,290
12589,254	24,306	182,330
15848,932	24,318	181,739
19952,623	23,750	179,785
25118,864	23,832	179,243
31622,777	23,934	179,003
39810,717	23,842	178,051
